Compiler	test	% mem	Size	Threads	Rate (MB/s)	Avg time	Min time	Max time	notes
icc	Add	 0.091	10000000	20	81438.9	0.002978	0.002947	0.00304	kestrel nodes
icc	Add	 0.091	10000000	40	173281.5	0.001393	0.001385	0.001412	kestrel nodes
icc	Add	 0.091	10000000	60	503175.6	0.000491	0.000477	0.000529	kestrel nodes
icc	Add	 0.091	10000000	80	1950876.3	0.000166	0.000123	0.000183	kestrel nodes
icc	Add	 0.091	10000000	100	4136223.7	7.1e-05	5.8e-05	9.3e-05	kestrel nodes
ifc	Add	 0.183	20000000	20	79284.3	0.0061	0.0061	0.0062	kestrel nodes
ifc	Add	 0.183	20000000	40	161890.2	0.003	0.003	0.0031	kestrel nodes
ifc	Add	 0.183	20000000	60	248981.7	0.0019	0.0019	0.002	kestrel nodes
ifc	Add	 0.183	20000000	80	331238.2	0.0015	0.0014	0.0015	kestrel nodes
ifc	Add	 0.183	20000000	100	482913.4	0.001	0.001	0.001	kestrel nodes
icc	Add	85.000	9314354116	20	80292.9	2.785939	2.784112	2.787737	kestrel nodes
icc	Add	85.000	9314354116	40	135302.2	1.652691	1.652187	1.653104	kestrel nodes
icc	Add	85.000	9314354116	60	149947.3	1.4913	1.49082	1.492154	kestrel nodes
icc	Add	85.000	9314354116	80	223097.4	1.002237	1.002004	1.002383	kestrel nodes
icc	Add	85.000	9314354116	100	372995.7	0.599622	0.599322	0.599953	kestrel nodes
ifc	Add	85.000	9314354116	20	79520.9	2.8121	2.8111	2.8135	kestrel nodes
ifc	Add	85.000	9314354116	40	135251.9	1.6531	1.6528	1.6536	kestrel nodes
ifc	Add	85.000	9314354116	60	151191.2	1.479	1.4786	1.48	kestrel nodes
ifc	Add	85.000	9314354116	80	211401.8	1.0578	1.0574	1.0581	kestrel nodes
ifc	Add	85.000	9314354116	100	376678.1	0.5937	0.5935	0.5938	kestrel nodes
icc	Copy	 0.091	10000000	20	102697.5	0.001672	0.001558	0.001728	kestrel nodes
icc	Copy	 0.091	10000000	40	267152.5	0.000748	0.000599	0.000776	kestrel nodes
icc	Copy	 0.091	10000000	60	450738.4	0.000365	0.000355	0.000374	kestrel nodes
icc	Copy	 0.091	10000000	80	2050074.5	0.000105	7.8e-05	0.000122	kestrel nodes
icc	Copy	 0.091	10000000	100	4865088.8	3.6e-05	3.3e-05	4.1e-05	kestrel nodes
ifc	Copy	 0.183	20000000	20	84904.9	0.0038	0.0038	0.0038	kestrel nodes
ifc	Copy	 0.183	20000000	40	199639.6	0.0017	0.0016	0.0017	kestrel nodes
ifc	Copy	 0.183	20000000	60	362456.7	0.001	0.0009	0.0011	kestrel nodes
ifc	Copy	 0.183	20000000	80	532398.8	0.0008	0.0006	0.0008	kestrel nodes
ifc	Copy	 0.183	20000000	100	603768.5	0.0006	0.0005	0.0006	kestrel nodes
icc	Copy	85.000	9314354116	20	88192.0	1.69385	1.689832	1.697313	kestrel nodes
